dataset,source,target,pad_rank,source_only,best_fixed_arch,best_fixed,nas_top_k
SMD,machine-1-4,machine-2-4,46,0.4924,GRU,0.6893,0.6969
SMD,machine-3-10,machine-1-7,47,0.5865,TCN,0.5553,0.6466
SMD,machine-1-3,machine-2-1,55,0.7931,GRU,0.8317,0.3180
SMD,machine-2-1,machine-2-7,56,0.5522,TCN,0.6970,0.7435
SMD,machine-1-3,machine-2-4,61,0.5357,GRU,0.6919,0.8065
SMD,machine-1-4,machine-2-1,66,0.7053,Transformer,0.7029,0.8945
SMD,machine-2-7,machine-2-1,67,0.7415,Transformer,0.8108,0.8180
SMD,machine-3-10,machine-2-1,68,0.6715,TCN,0.8663,0.8889
SMD,machine-3-10,machine-2-7,69,0.5679,TCN,0.7424,0.7346
SMD,machine-2-5,machine-3-10,70,0.5387,Transformer,0.1532,0.7108
SMD,machine-2-7,machine-3-10,71,0.6897,GRU,0.1585,0.4555
SMD,machine-1-3,machine-1-7,76,0.4207,TCN,0.5697,0.6863
MSL,M-2,M-5,23,0.2593,GRU,0.2593,0.3704
MSL,M-1,M-5,36,0.2593,GRU,0.3519,0.4259
MSL,T-12,T-4,41,0.1923,TCN,0.0385,0.2308
MSL,F-5,F-7,42,0.4022,TCN,0.4783,0.6033
MSL,T-12,T-13,43,0.4462,TCN,0.2462,0.2462
MSL,T-13,T-4,44,0.2692,Transformer,0.1923,0.3462
SMAP,E-5,E-9,150,0.6929,TCN,0.7000,0.6643
SMAP,E-1,E-9,186,0.5143,GRU,0.2214,0.6929
SMAP,E-10,E-9,188,0.6214,GRU,0.3071,0.7143
SMAP,E-11,E-9,190,0.6786,GRU,0.2214,0.6929
SMAP,E-7,E-9,208,0.7000,TCN,0.6929,0.7286
SMAP,E-12,E-9,219,0.7000,GRU,0.2643,0.7071
SMAP,E-13,E-9,221,0.2429,TCN,0.7143,0.9143
SMAP,E-2,E-9,239,0.2714,TCN,0.6929,0.7000
SMAP,E-3,E-9,240,0.3429,Transformer,0.2429,0.3071
SMAP,E-6,E-9,243,0.5143,GRU,0.2429,0.7071
